Unnamed: 0,Unnamed: 1,Unnamed: 2,Owners of new LLCs,Unnamed: 4,Unnamed: 5,Sole proprietors,Unnamed: 7,Unnamed: 8,Directors of new LCCS,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Owners of new LLCs.1,Unnamed: 15,Sole proprietors.1,Unnamed: 17,Directors of new LCCs,Unnamed: 19
Country,Income group,Year,Number of female business owners,Number of male business owners,Total number of business owners,Number of female sole proprietors,Number of male sole proprietors,Total number of sole proprietors,Number of female directors,Number of male directors,Total number of directors,,,Share of female business owners,Share of male business owners,Share of female sole proprietors,Share of male sole proprietors,Share of female directors,Share of male directors
Afghanistan,Low income,,,,,,,,,,,,Afghanistan,,,,,,
Afghanistan,Low income,2014,65,5043,5108,14,2117,2131,34,3414,3448,,Afghanistan2014,0.012725137039937353,0.9872748629600626,0.00656968559361802,0.993430314406382,0.009860788863109048,0.990139211136891
Afghanistan,Low income,2015,45,4704,4749,26,3110,3136,11,2398,2409,,Afghanistan2015,0.009475679090334808,0.9905243209096652,0.008290816326530613,0.9917091836734694,0.0045662100456621,0.9954337899543378
Afghanistan,Low income,2016,65,5036,5101,33,4403,4436,32,2473,2505,,Afghanistan2016,0.012742599490296021,0.987257400509704,0.007439134355275023,0.992560865644725,0.01277445109780439,0.9872255489021956
Afghanistan,Low income,2017,88,6047,6135,74,4343,4417,34,2677,2711,,Afghanistan2017,0.014343928280358598,0.9856560717196414,0.016753452569617387,0.9832465474303826,0.012541497602360752,0.9874585023976392
Afghanistan,Low income,2018,177,8482,8659,149,5103,5252,93,5057,5150,,Afghanistan2018,0.02044115948723871,0.9795588405127613,0.028370144706778372,0.9716298552932217,0.018058252427184465,0.9819417475728155
Albania,Upper middle income,,,,,,,,,,,,Albania,,,,,,
Albania,Upper middle income,2014,401,1818,2219,4984,8812,13796,344,1779,2123,,Albania2014,0.18071203244704823,0.8192879675529517,0.3612641345317483,0.6387358654682517,0.16203485633537448,0.8379651436646255
Albania,Upper middle income,2015,457,2159,2616,13317,23649,36966,451,1997,2448,,Albania2015,0.17469418960244648,0.8253058103975535,0.36024995942217175,0.6397500405778282,0.18423202614379086,0.8157679738562091
