"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","38.1","38.1","38.1","38.1",
"Angola","AGO","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","33.1","33.1","33.1","33.1","33.1","33.1","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","65","65","65","65","67.5","67.5","67.5","67.5","70","73.1","73.1","73.1",
"Albania","ALB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","65","65","65","80","80","80","80","80","80","80","80","80","80","80","82.5","82.5","82.5","85.6","85.6","85.6","85.6","85.6","85.6","91.3","91.3","91.3","91.3",
"Andorra","AND","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","30","56.3",
"Argentina","ARG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","30.6","30.6","30.6","30.6","30.6","30","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","59.4","59.4","59.4","59.4","62.5","62.5","62.5","65","65","65","65","65","65","65","65","65","70","70","70","70","70","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","76.3","76.3",
"Armenia","ARM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","52.5","55","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","58.8","58.8","58.8","58.8","58.8","58.8","58.8","61.9","61.9","76.9","76.9","76.9","76.9","76.9","76.9","80","80","80","80","80","80","80","82.5","82.5",
"American Samoa","ASM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","54.4","54.4","54.4","60.6","60.6","60.6","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3",
"Australia","AUS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","54.4","54.4","54.4","54.4","54.4","54.4","56.9","56.9","56.9","56.9","56.9","59.4","62.5","65.6","75","75","75","75","75","75","75","75","75","75","75","75","75","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","83.8","83.8","91.3","91.3","93.8","96.9","96.9","96.9","96.9","96.9","96.9",
"Austria","AUT","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","41.3","41.3","41.3","41.3","43.8","43.8","51.9","51.9","51.9","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","73.1","73.1","76.3","76.3","76.3","76.3","78.8","78.8","78.8","78.8","78.8","78.8","81.9","81.9","85","85","85","85","91.3","91.3","91.3","91.3","91.3","94.4","94.4","94.4","94.4","94.4","94.4",
"Azerbaijan","AZE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","52.5","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","64.4","64.4","64.4","64.4","64.4","64.4","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","76.3","76.3","76.3","76.3","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8",
"Burundi","BDI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","45","45","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","58.8","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1",
"Belgium","BEL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","38.1","38.1","40.6","40.6","40.6","40.6","40.6","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","63.8","63.8","70","72.5","75.6","75.6","75.6","75.6","84.4","84.4","84.4","84.4","87.5","87.5","93.8","93.8","100","100","100","100","100","100","100","100","100",
"Benin","BEN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","28.1","28.1","28.1","37.5","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","49.4","46.9","46.9","46.9","46.9","46.9","46.9","65.6","65.6","71.9","71.9","71.9","71.9","71.9","74.4","74.4","74.4","74.4","74.4","74.4","74.4","74.4",
"Burkina Faso","BFA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","61.9","61.9","61.9","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","79.4",
"Bangladesh","BGD","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","35","35","35","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","43.8","43.8","46.9","46.9","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4",
"Bulgaria","BGR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","65","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","73.8","73.8","73.8","82.5","88.1","88.1","88.1","88.1","90.6","90.6","87.5","87.5","90.6","90.6","90.6","90.6","90.6","90.6","90.6",
"Bahrain","BHR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","20.6","20.6","20.6","20.6","20.6","20.6","20.6","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","31.9","31.9","31.9","31.9","31.9","31.9","31.9","35","35","35","37.5","37.5","40","46.3",
"Bahamas, The","BHS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","46.9","46.9","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","56.3","56.3","56.3","58.8","58.8","61.9","61.9","61.9","64.4","64.4","64.4","64.4","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3","81.3",
"Bosnia and Herzegovina","BIH","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","63.8","66.9","66.9","66.9","76.3","76.3","78.8","78.8","78.8","78.8","78.8","81.9","81.9","81.9","81.9","81.9","81.9","85","88.1","85","85",
"Belarus","BLR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","53.1","50","55","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","61.3","61.3","61.3","67.5","67.5","67.5","67.5","67.5","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","75.6","75.6","75.6","75.6","75.6","75.6",
"Belize","BLZ","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","53.8","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","65.6","65.6","65.6","65.6","71.9","71.9","71.9","71.9","74.4","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4",
"Bermuda","BMU","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","36.9","36.9","36.9","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8","61.9","65","65","68.1","68.1","76.9","76.9","82.5","82.5","82.5","82.5","82.5",
"Brazil","BRA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","33.8","33.8","33.8","33.8","30.6","30.6","30.6","30.6","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","41.3","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","56.9","56.9","63.1","79.4","79.4","79.4","79.4","79.4","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9",
"Barbados","BRB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","60","60","60","60","60","60","60","62.5","62.5","62.5","65.6","65.6","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","76.9","76.9",
"Brunei Darussalam","BRN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1",
"Bhutan","BTN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","51.9","51.9","51.9","51.9","51.9","51.9","66.9","66.9","66.9","69.4","69.4","69.4","71.9","71.9","71.9","71.9","71.9","71.9","71.9",
"Botswana","BWA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","22.5","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","28.1","28.1","28.1","37.5","40.6","40.6","40.6","40.6","40.6","40.6","40.6","40.6","61.3","61.3","61.3","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8",
"Central African Republic","CAF","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3",
"Canada","CAN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","66.3","66.3","68.8","68.8","68.8","71.3","71.3","74.4","77.5","80.6","80.6","80.6","80.6","80.6","80.6","86.3","86.3","89.4","89.4","89.4","95","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","100",
"Central Europe and the Baltics","CEB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","60","60","60","62.5","62.5","62.5","62.5","62.5","62.5","62.5","75","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","80.6","83.1","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6",
"Channel Islands","CHI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","33.8","33.8","33.8","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","54.4","54.4","54.4","54.4","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","63.8","63.8","66.9","71.9","71.9","75","75","75","75","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5",
"China","CHN","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","59.4","59.4","59.4","59.4","59.4","59.4","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","67.5","67.5","72.5","72.5","69.4","69.4","69.4","69.4","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6",
