Country,Income group,Year,Number of female business owners,Number of male business owners,Total number of business owners,Share of female business owners,Share of male business owners
Afghanistan,Low income,2014-01-01,65,5043,5108,0.012725137039937353,0.9872748629600626
Afghanistan,Low income,2015-01-01,45,4704,4749,0.009475679090334808,0.9905243209096652
Afghanistan,Low income,2016-01-01,65,5036,5101,0.012742599490296021,0.987257400509704
Afghanistan,Low income,2017-01-01,88,6047,6135,0.014343928280358598,0.9856560717196414
Afghanistan,Low income,2018-01-01,177,8482,8659,0.02044115948723871,0.9795588405127613
Albania,Upper middle income,2014-01-01,401,1818,2219,0.18071203244704823,0.8192879675529517
Albania,Upper middle income,2015-01-01,457,2159,2616,0.17469418960244648,0.8253058103975535
Albania,Upper middle income,2016-01-01,505,2174,2679,0.18850317282568121,0.8114968271743188
Albania,Upper middle income,2017-01-01,642,2343,2985,0.2150753768844221,0.7849246231155779
Albania,Upper middle income,2018-01-01,562,2428,2990,0.1879598662207358,0.8120401337792642
Algeria,Upper middle income,2014-01-01,522,7904,8426,0.061951103726560645,0.9380488962734393
Algeria,Upper middle income,2015-01-01,544,7549,8093,0.06721858396144817,0.9327814160385518
Algeria,Upper middle income,2016-01-01,637,8204,8841,0.07205067300079177,0.9279493269992082
Algeria,Upper middle income,2017-01-01,658,9227,9885,0.06656550328780982,0.9334344967121901
Algeria,Upper middle income,2018-01-01,656,8816,9472,0.06925675675675676,0.9307432432432432
Austria,High income,2014-01-01,,,,,
Austria,High income,2015-01-01,,,,,
Austria,High income,2016-01-01,,,,,
Austria,High income,2017-01-01,,,,,
Austria,High income,2018-01-01,,,,,
Azerbaijan,Upper middle income,2014-01-01,828,5963,6791,0.1219260786334855,0.8780739213665145
Azerbaijan,Upper middle income,2015-01-01,786,4422,5208,0.15092165898617513,0.8490783410138248
Azerbaijan,Upper middle income,2016-01-01,970,6249,7219,0.13436764094749964,0.8656323590525004
Azerbaijan,Upper middle income,2017-01-01,1991,10780,12771,0.15590008613264428,0.8440999138673557
Azerbaijan,Upper middle income,2018-01-01,2225,11693,13918,0.1598649231211381,0.8401350768788619
Bahrain,High income,2014-01-01,714,2446,3160,0.2259493670886076,0.7740506329113924
Bahrain,High income,2015-01-01,834,2488,3322,0.25105358217941,0.74894641782059
Bahrain,High income,2016-01-01,2215,6808,9023,0.24548376371495068,0.7545162362850493
Bahrain,High income,2017-01-01,2087,7352,9439,0.2211039305011124,0.7788960694988876
Bahrain,High income,2018-01-01,1799,6574,8373,0.2148572793502926,0.7851427206497074
Belarus,Upper middle income,2014-01-01,3807,11175,14982,0.2541049259110933,0.7458950740889067
Belarus,Upper middle income,2015-01-01,3514,8913,12427,0.28277138488774445,0.7172286151122556
Belarus,Upper middle income,2016-01-01,3204,8704,11908,0.2690628149143433,0.7309371850856567
Belarus,Upper middle income,2017-01-01,3071,8863,11934,0.2573319926261103,0.7426680073738897
Belarus,Upper middle income,2018-01-01,3238,9801,13039,0.24833192729503797,0.751668072704962
Benin,Low income,2014-01-01,385,2142,2527,0.1523545706371191,0.8476454293628809
Benin,Low income,2015-01-01,517,3062,3579,0.14445375803297011,0.8555462419670299
Benin,Low income,2016-01-01,676,3064,3740,0.18074866310160428,0.8192513368983957
Benin,Low income,2017-01-01,709,2819,3528,0.20096371882086167,0.7990362811791383
Benin,Low income,2018-01-01,640,2701,3341,0.19155941334929663,0.8084405866507034
Bhutan,Lower middle income,2014-01-01,14,68,82,0.17073170731707318,0.8292682926829268
Bhutan,Lower middle income,2015-01-01,33,67,100,0.33,0.67
Bhutan,Lower middle income,2016-01-01,35,84,119,0.29411764705882354,0.7058823529411765
Bhutan,Lower middle income,2017-01-01,58,118,176,0.32954545454545453,0.6704545454545454
Bhutan,Lower middle income,2018-01-01,37,74,111,0.3333333333333333,0.6666666666666666
Brunei Darussalam,High income,2014-01-01,,,,,
Brunei Darussalam,High income,2015-01-01,379,962,1341,0.2826249067859806,0.7173750932140194
Brunei Darussalam,High income,2016-01-01,459,1255,1714,0.2677946324387398,0.7322053675612602
Brunei Darussalam,High income,2017-01-01,479,1229,1708,0.28044496487119436,0.7195550351288056
Brunei Darussalam,High income,2018-01-01,510,1129,1639,0.3111653447223917,0.6888346552776083
Cambodia,Lower middle income,2014-01-01,,,,,
Cambodia,Lower middle income,2015-01-01,,,,,
Cambodia,Lower middle income,2016-01-01,6556,18558,25114,0.2610496137612487,0.7389503862387513
Cambodia,Lower middle income,2017-01-01,2803,8435,11238,0.24942160526784124,0.7505783947321587
Cambodia,Lower middle income,2018-01-01,3247,10507,13754,0.23607677766467935,0.7639232223353206
Central African Republic,Low income,2014-01-01,,,,,
Central African Republic,Low income,2015-01-01,,,,,
Central African Republic,Low income,2016-01-01,,,,,
Central African Republic,Low income,2017-01-01,,,,,
Central African Republic,Low income,2018-01-01,,,,,
Chile,High income,2014-01-01,25570,54787,80357,0.31820501014224023,0.6817949898577598
Chile,High income,2015-01-01,30782,65839,96621,0.31858498670061375,0.6814150132993863
Chile,High income,2016-01-01,36029,75892,111921,0.3219145647376274,0.6780854352623725
Chile,High income,2017-01-01,41761,84376,126137,0.3310765279022016,0.6689234720977985
Chile,High income,2018-01-01,48542,95444,143986,0.3371299987498785,0.6628700012501215
Cote d'Ivoire,Lower middle income,2014-01-01,1525,6509,8034,0.1898182723425442,0.8101817276574558
Cote d'Ivoire,Lower middle income,2015-01-01,1181,5595,6776,0.17429161747343566,0.8257083825265643
Cote d'Ivoire,Lower middle income,2016-01-01,2871,11402,14273,0.20114902263014084,0.7988509773698592
Cote d'Ivoire,Lower middle income,2017-01-01,2505,11296,13801,0.1815085863343236,0.8184914136656763
Cote d'Ivoire,Lower middle income,2018-01-01,3773,13581,17354,0.21741385271407168,0.7825861472859283
Croatia,High income,2014-01-01,,,,,
Croatia,High income,2015-01-01,,,,,
